Column Name,Column Status,Notes,Type,Case Reference,Calculation
CPT Months Delivered,Column as requested,,Primary Case,self,cpt_months_delivered
CPT 1 Date,Column as requested,,Primary Case,self,cpt_1_date
CPT 2 Date,Column as requested,,Primary Case,self,cpt_2_date
CPT 3 Date,Column added,,Primary Case,self,cpt_3_date
CPT 4 Date,Column as requested,,Primary Case,self,cpt_4_date
CPT 5 Date,Column as requested,,Primary Case,self,cpt_5_date
CPT 6 Date,Column as requested,,Primary Case,self,cpt_6_date
CPT 7 Date,Column as requested,,Primary Case,self,cpt_7_date
CPT 8 Date,Column added,,Primary Case,self,cpt_8_date
Other Comorbidity,Column as requested,,Primary Case,self,other_comorbidity
Other Comorbidity Detail,Column added,,Primary Case,self,other_comorbidity_detail
History Of ATT,Column added,,Primary Case,self,history_of_att
Marital Status,Column added,,Primary Case,self,marital_status
Marital Status Other Detail,Column as requested,,Primary Case,self,marital_status_other_detail
Socioeconomic Status,Column added,,Primary Case,self,socioeconomic_status
Permanent Address State Choice,Column added,,Primary Case,self,permanent_address_state_choice
Permanent Address District Choice,Column as requested,,Primary Case,self,permanent_address_district_choice
Permanent Address Block Taluka Mandal,Column as requested,,Primary Case,self,permanent_address_block_taluka_mandal
Permanent Address Village Town City,Column added,,Primary Case,self,permanent_address_village_town_city
Permanent Address First Line,Column added,,Primary Case,self,permanent_address_first_line
Permanent Address Postal Code,Column as requested,,Primary Case,self,permanent_address_postal_code
Permanent Address Landmark,Column added,,Primary Case,self,permanent_address_landmark
Permanent Address Complete,Column as requested,,Primary Case,self,permanent_address
Secondary Contact Name Address,Column as requested,,Primary Case,self,secondary_contact_name_address
Secondary Contact Phone Number,Column as requested,,Primary Case,self,secondary_contact_phone_number
Alcohol History,Column as requested,,Primary Case,self,alcohol_history
Alcohol Deaddiction,Column as requested,,Primary Case,self,alcohol_deaddiction
Tobacco User,Column as requested,,Primary Case,self,tobacco_user
Created by Nikshay (DSTB) Migration,Column as requested,"If the value is true, the person was created by the Nikshay DSTB migration. For all other values, the person was not created by the Nikshay DSTB migration.",Primary Case,self,migration_created_case
Created by Excel PMDT (DRTB) Migration,Column as requested,"If value is pmdt_excel, the person was created by the PMDT excel migration. For all other values, the person was not created by the PMDT excel migration.",Primary Case,self,migration_type
