Column Name,Column Status,Notes,Type,Case Reference,Calculation
Type of treatment adherence - (Other - Specify),Column modified,"If 'other' is selected as adherence type choice, a free text option appears",Primary Case,self,adherence_type_other_detail
Specify ICT System,Column modified,Split ICT system choice into columns. This is the choice select question.,Primary Case,self,adherence_type_ict_choice
Other ICT System,Column modified,Split ICT system choice into columns. This is the free text option.,Primary Case,self,adherence_type_ict_other_detail
Treatment Supporter Designation,Column as requested,,Primary Case,self,treatment_supporter_designation
Treatment Supporter First Name,Column modified,Split treatment supporter name into first and last name outputs.,Primary Case,self,treatment_supporter_first_name
Treatment Supporter Last Name,Column modified,Split treatment supporter name into first and last name outputs.,Primary Case,self,treatment_supporter_last_name
Treatment Supporter Mobile Number,Column as requested,,Primary Case,self,treatment_supporter_mobile_number
Weight,Column as requested,,Primary Case,self,weight
Height,Column as requested,,Primary Case,self,height
Dosage Frequency,Column as requested,,Primary Case,self,adherence_schedule_id
Drug Formulations,Column as requested,,Primary Case,self,drug_formulations
Loose Drugs Dosage,Column as requested,,Primary Case,self,dosage_loose_drugs
Weight Band,Column as requested,,Primary Case,self,weight_band
"Drug Packaging, if any",Column as requested,,Primary Case,self,drug_packaging
"FDC Dosage per Day, if any",Column as requested,,Primary Case,self,dosage_fdc
HIV status,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
"Date of HIV Test, if Reactive & Non - Reactive",Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
"PID Number, if any",Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
CPT Initiated?,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
"Date of CPT Initiation?, if yes",Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
ART Initiated?,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Date of ART Initiation?,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
"ART Number, if any",Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
"ART Centre Name, if any",Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
"HIV Testing offered?, if HIV status is Unknown",Column moved or unavailable,This information was not stored to this data model,N/A,N/A,N/A
Diabetic Status,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
RBS Level,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
FBS Level,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Initiated on Anti-diabetes treatment?,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Date of anti-diabetes treatment initiation,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Anti diabetes treatment program number,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
"Diabetes testing offered?, if Diabetes Status is Unknown",Column moved or unavailable,This information was not stored to this data model,N/A,N/A,N/A
Other Comorbidity,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
"Specify Other Co-morbidity, if selected as Yes",Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Current Tobacco user?,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Tobacco Type?,Column moved or unavailable,This information was not stored to this data model,N/A,N/A,N/A
Linked to cessation program,Column moved or unavailable,This information was not stored to this data model,N/A,N/A,N/A
History of Alcohol intake,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Linked for deaddiction Program?,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Has Nikshay ID?,Column moved or unavailable,"See column 'Nikshay ID' and column 'Manual Nikshay ID' in conjunction. If 'Manual Nikshay ID' is 'yes', then the value in 'Nikshay ID' would have been entered by user.",N/A,N/A,N/A
Enter Nikshay ID,Column moved or unavailable,"See column 'Nikshay ID' and column 'Manual Nikshay ID' in conjunction. If 'Manual Nikshay ID' is 'yes', then the value in 'Nikshay ID' would have been entered by user.",N/A,N/A,N/A
Has TB Notification Number for current episode,Column moved or unavailable,This is not available for this table. It could be deduced by whether or not the TB number is populated or not.,N/A,N/A,N/A
Enter TB Number,Column as requested,,Primary Case,self,tb_number
Marital Status,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Marital Status (Other - Specify),Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Socio Economic Status,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Name & Address of Contact Person,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Mobile/ Landline Number of Contact Person,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Predominant Symptoms,Column as requested,,Primary Case,self,predominant_symptom
"Duration of symptoms in Days, if any",Column as requested,,Primary Case,self,symptom_duration
History of ATT greater than one month?,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Number of health care providers visited before diagnosis for current episodes,Column moved or unavailable,This information was not stored to this data model,N/A,N/A,N/A
"Months of Treatment undertaken
",Column moved or unavailable,This information was not stored to this data model,N/A,N/A,N/A
Months since treatment for last episode,Column moved or unavailable,This information was not stored to this data model,N/A,N/A,N/A
Source of treatment for previous regimen,Column moved or unavailable,This information was not stored to this data model,N/A,N/A,N/A
Key population,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Occupation,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Current Address - State,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Current Address - District,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Current Address - Block/ Taluka/ Mandal,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Current Address - Village/ Town/ City,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Current Address - Address First Line,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Current Address - Postal code,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Current Address - Landmark,Column moved or unavailable,This property is linked to the person case. Please refer to the person table for this information.,N/A,N/A,N/A
Initiate Continuation Phase?,Column as requested,,Primary Case,self,cp_initiated
Date of CP Initiation,Column as requested,,Primary Case,self,cp_initiation_date
Adverse drug reaction history,Column added,"This property includes the date of first adverse drug reaction, the type of reaction, any notes on the reaction, date of any remedial action, type of remedial action, and duration of management for adverse events in days.",Primary Case,self,adr_history
"Date of first reaction/ symptom, if any",Column moved or unavailable,See 'adr_history' property for this information.,N/A,N/A,N/A
"Specify reaction, if any",Column moved or unavailable,See 'adr_history' property for this information.,N/A,N/A,N/A
"Note on Reactions, if any",Column moved or unavailable,See 'adr_history' property for this information.,N/A,N/A,N/A
Any Action taken,Column moved or unavailable,See 'adr_history' property for this information.,N/A,N/A,N/A
Date of remedial action,Column moved or unavailable,See 'adr_history' property for this information.,N/A,N/A,N/A
"Specify action, if any",Column moved or unavailable,See 'adr_history' property for this information.,N/A,N/A,N/A
Duration of management for adverse events (Days),Column moved or unavailable,See 'adr_history' property for this information.,N/A,N/A,N/A
Treatment Outcome,Column as requested,,Primary Case,self,treatment_outcome
Date of Treatment Outcome,Column as requested,,Primary Case,self,treatment_outcome_date
Created by Nikshay (DSTB) Migration,Column added,"If the value is true, the person was created by the Nikshay DSTB migration. For all other values, the person was not created by the Nikshay DSTB migration.",Primary Case,self,migration_created_case
Created by Excel PMDT (DRTB) Migration,Column added,"If value is pmdt_excel, the person was created by the PMDT excel migration. For all other values, the person was not created by the PMDT excel migration.",Primary Case,self,migration_type
